Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Faxu škodí především přetížené telefonní linky *	Fax @@u škod @@í přede @@vš @@í @@m pře @@tíž @@en @@é tele @@fon @@n @@í lin @@k @@y *
Pomocí může být systém ECM	Po @@moc @@í můž @@e bý @@t systém E @@C @@M
Šetřete peníze , netelefonujte , faxujte !	Šetř @@e @@te peníz @@e , ne @@tele @@fon @@uj @@te , fax @@uj @@te !
Je tento reklamní slogan pravdivý ?	Je t @@en @@t @@o reklam @@n @@í slogan prav @@d @@iv @@ý ?
Hlasité přečtení dobře čitelného textu na stránce A 4 , při řádkování 1.5 , trvá zhruba 3 minuty .	Hlas @@it @@é pře @@čt @@en @@í dobř @@e čit @@eln @@ého text @@u na strán @@c @@e A 4 , při řád @@k @@ová @@n @@í 1.5 , trv @@á z @@hrub @@a 3 minut @@y .
Podle prospektů se faxem přenese normalizovaný obsah jedné stránky A 4 za 10 až 30 sekund .	Po @@dle pro @@spekt @@ů s @@e fax @@em pře @@nes @@e norm @@al @@iz @@ova @@n @@ý ob @@sah jedn @@é strán @@k @@y A 4 za 10 až 30 sekund .
Ve skutečnosti to sice trvá zhruba minutu , protože doba přenosu více závisí na stavu telefonní linky než na rychlosti přístroje , ale i tak je přenos informace faxem zhruba třikrát rychlejší než řeč .	Ve s @@kut @@eč @@n @@ost @@i t @@o sice trv @@á z @@hrub @@a minut @@u , pro @@t @@o @@že dob @@a pře @@nos @@u více zá @@vis @@í na stav @@u tele @@fon @@n @@í lin @@k @@y než na rychl @@ost @@i pří @@stroj @@e , ale i tak je pře @@nos in @@form @@ac @@e fax @@em z @@hrub @@a tř @@i @@krát rychl @@ejš @@í než řeč .
Navíc současně vznikne písemný doklad , lze přenášet obrázky , grafy , fotografie , rukou psané texty apod .	Na @@víc sou @@čas @@n @@ě vz @@nik @@ne pís @@emn @@ý do @@klad , lze pře @@náš @@e @@t ob @@ráz @@k @@y , graf @@y , foto @@graf @@i @@e , ruk @@ou ps @@a @@n @@é text @@y a @@pod .
Přenosová rychlost přístroje pro telefonní faksimile , tak se správně nazývá zařízení , o kterém dnes píšeme , je sice zajímavý parametr pro posouzení jeho vlastností , ale má z uživatelského hlediska omezený význam .	Pře @@nos @@ov @@á rychl @@ost pří @@stroj @@e pro tele @@fon @@n @@í fak @@simil @@e , tak s @@e s @@práv @@n @@ě na @@zýv @@á za @@říz @@en @@í , o kter @@é @@m dnes píš @@e @@me , je sice za @@jím @@a @@v @@ý parametr pro po @@souz @@en @@í je @@ho vlast @@n @@ost @@í , ale m @@á z u @@ži @@v @@a @@tel @@sk @@ého hled @@isk @@a o @@mez @@en @@ý vý @@znam .
Protože smyslem článku je napomoci orientovat se vám při výběru zařízení pro vaši potřebu , je nutné poněkud obšírněji vysvětlit , proč je nutné tento parametr , uváděný v prospektech , brát jen jako orientační údaj .	Pro @@t @@o @@že s @@mysl @@e @@m člán @@k @@u je na @@po @@moc @@i orient @@ova @@t s @@e v @@á @@m při vý @@běr @@u za @@říz @@en @@í pro v @@a @@š @@i po @@třeb @@u , je nut @@n @@é po @@ně @@kud ob @@šír @@n @@ěj @@i vy @@svět @@l @@i @@t , proč je nut @@n @@é t @@en @@t @@o parametr , u @@vád @@ě @@n @@ý v pro @@spekt @@ech , br @@á @@t jen jako orient @@ač @@n @@í ú @@daj .
