abbé	abb @@é
abdikovat	ab @@dik @@ova @@t
abdomen	abdomen
abecedu	abeced @@u
abonovat	abon @@ova @@t
abonování	abon @@ová @@n @@í
absolutna	absolut @@n @@a
absolutnem	absolut @@n @@em
absolutno	absolut @@n @@o
absolutní	absolut @@n @@í
absolutních	absolut @@n @@ích
absolutním	absolut @@n @@í @@m
absolutně	absolut @@n @@ě
absorbovat	ab @@sorb @@ova @@t
abstenovanost	absten @@ova @@n @@ost
abstenovat	absten @@ova @@t
abstrahovat	abs @@trah @@ova @@t
abstrakce	ab @@s @@trak @@c @@e
abstrakcí	ab @@s @@trak @@c @@í
abstraktní	ab @@s @@trakt @@n @@í
abstraktních	ab @@s @@trakt @@n @@ích
abstraktními	abs @@trakt @@n @@ími
abušinovův	abušinov @@ův
aby	aby
abychom	a @@by @@chom
abys	a @@by @@s
abyste	aby @@s @@te
ach	ach
achich	ach @@ich
achovat	a @@chov @@a @@t
achronisticky	a @@chron @@ist @@ic @@k @@y
acidifikovávanost	acid @@i @@fik @@ová @@v @@a @@n @@ost
actu	actu
ad	ad
adam	adam
adaptor	adapt @@or
adaptovat	adapt @@ova @@t
adekvátní	ad @@ekvát @@n @@í
adjustovat	adjust @@ova @@t
administrativní	ad @@ministr @@at @@iv @@n @@í
admirála	admirál @@a
adoptovat	ad @@opt @@ova @@t
adorovat	ador @@ova @@t
adres	adres
adrese	adres @@e
adresovat	adres @@ova @@t
adresu	adres @@u
adresáta	adres @@át @@a
adriana	adrian @@a
advokát	advok @@át
advokáta	advok @@át @@a
advokátem	advok @@át @@em
aeromagneticky	aero @@magnet @@ic @@k @@y
aeroplánem	aero @@plán @@em
aerotransport	aero @@trans @@port
aeternitatis	aeternitatis
afilozofický	a @@filo @@zof @@ic @@k @@ý
afinovat	afin @@ova @@t
afriku	afrik @@u
afázie	afáz @@i @@e
aféra	afér @@a
aféry	afér @@y
agenda	agend @@a
agenti	agent @@i
agentů	agent @@ů
agitovat	agit @@ova @@t
aglomerovat	aglomer @@ova @@t
agnoskovat	a @@gnosk @@ova @@t
agnosticism	a @@gnos @@t @@ic @@ism
agnoston	agnoston
agovávat	agov @@á @@v @@a @@t
agrese	agres @@e
agresi	agres @@i
agrochemicky	agro @@chem @@ick @@y
agrárním	agr @@ár @@n @@ím
aha	aha
airlines	air @@line @@s
airways	air @@way @@s
akademickost	akadem @@ic @@k @@ost
akademické	akadem @@ic @@k @@é
akademickému	akadem @@ic @@k @@ému
akce	akc @@e
akcentovat	akcent @@ova @@t
akceptovat	akcept @@ova @@t
akci	akc @@i
akcie	akci @@e
akcionář	akcion @@ář
akcionářů	akci @@onář @@ů
akciová	akci @@ov @@á
akciové	akci @@ov @@é
akciových	akci @@ov @@ých
akcií	akci @@í
akcích	akc @@ích
aklimatizovat	a @@klim @@at @@iz @@ova @@t
akomodovat	a @@ko @@mod @@ova @@t
akorát	akorát
akragant	akragant
akreditovat	a @@kred @@it @@ova @@t
akrylový	akryl @@ov @@ý
akt	akt
aktem	akt @@em
aktivizovat	akt @@iv @@iz @@ova @@t
aktivní	akt @@iv @@n @@í
aktivovat	akt @@iv @@ova @@t
aktovce	akt @@ov @@c @@e
aktovkou	akt @@ov @@k @@ou
aktualizovat	akt @@u @@al @@iz @@ova @@t
aktuálně	akt @@uál @@n @@ě
aktě	akt @@ě
akumulovat	a @@kumul @@ova @@t
akupresurou	aku @@pres @@ur @@ou
akustické	akust @@ic @@k @@é
akvarijní	akvarij @@n @@í
akvaristů	akvar @@ist @@ů
akvárium	akv @@ár @@i @@um
akvírovat	akv @@ír @@ova @@t
alarmovat	alarm @@ova @@t
alba	alb @@a
albatros	albatros
albínin	alb @@ín @@in
aldworthová	aldworth @@ov @@á
ale	ale
alebrž	alebrž
alegorizovat	alegor @@iz @@ova @@t
aleluja	aleluja
alemannů	alemann @@ů
alexandra	alexandr @@a
alexandrie	alexandr @@i @@e
alfabetickém	alf @@a @@bet @@ick @@ém
alfrédův	alfréd @@ův
alias	alias
alibi	alibi
alice	alic @@e
alici	alic @@i
alicino	alic @@in @@o
aligátor	aligátor
alister	alister
aljašce	aljašc @@e
alkajský	alkaj @@sk @@ý
alkalizovat	alkal @@iz @@ova @@t
alkohol	alkohol
alkoholik	alkohol @@ik
alogično	a @@log @@ič @@n @@o
alp	alp
alpy	alp @@y
alternativ	alter @@n @@at @@iv
alternativa	alter @@n @@at @@iv @@a
alternativu	alter @@n @@at @@iv @@u
alternovat	alter @@n @@ova @@t
alterovat	alter @@ova @@t
amalgamovat	amalgam @@ova @@t
amanda	amand @@a
amaretto	amarett @@o
amatérismus	amatér @@ismus
amazonský	amazon @@sk @@ý
amen	amen
americkou	americ @@k @@ou
americky	americ @@k @@y
americká	americ @@k @@á
americké	americ @@k @@é
americkému	americ @@k @@ému
americký	americ @@k @@ý
amerických	americ @@k @@ých
amerika	amerik @@a
amerikanismem	amerik @@an @@ism @@em
amerikanismu	amerik @@an @@ism @@u
amerikanizovat	amerik @@an @@iz @@ova @@t
ameriku	amerik @@u
amerikánovi	amerik @@án @@ovi
amerikánská	amerik @@án @@sk @@á
amerikánství	amerik @@án @@stv @@í
američankou	američ @@an @@k @@ou
američané	američ @@an @@é
američanů	američ @@an @@ů
američtí	američ @@t @@í
amina	amin @@a
aminko	amin @@k @@o
amino	amin @@o
aminu	amin @@u
amině	amin @@ě
amipro	ami @@pro
amnestovat	amnest @@ova @@t
amortizovat	amort @@iz @@ova @@t
amputovat	amput @@ova @@t
amsterodam	amsterodam
amsterodamu	amsterodam @@u
amsterodamě	amsterodam @@ě
anacharsisův	anacharsis @@ův
analogizovat	ana @@log @@iz @@ova @@t
analytica	ana @@lyt @@ic @@a
analytiku	ana @@lyt @@ik @@u
analyzovat	ana @@lyz @@ova @@t
analýza	ana @@lýz @@a
analýzy	ana @@lýz @@y
anarchii	an @@arch @@i @@i
anatol	anatol
anatolák	anatol @@ák
ancilla	ancilla
andrejeva	andrejev @@a
android	android
anděl	anděl
anděly	anděl @@y
andělé	anděl @@é
andělím	anděl @@ím
aneb	a @@neb
anebo	a @@nebo
angažovat	angaž @@ova @@t
anglicku	angl @@ic @@k @@u
anglicky	angl @@ick @@y
anglické	angl @@ic @@k @@é
anglického	angl @@ic @@k @@ého
anglickém	angl @@ick @@ém
anglický	angl @@ick @@ý
angličan	angl @@ič @@an
angličani	angl @@ič @@an @@i
angloamerické	angl @@o @@americ @@k @@é
anglosaskou	angl @@o @@sas @@k @@ou
anglosaské	angl @@o @@sas @@k @@é
anilínem	anil @@ín @@em
anilínu	anil @@ín @@u
anima	anim @@a
animistický	anim @@ist @@ick @@ý
animum	anim @@um
aniž	aniž
ano	ano
anoncovat	anonc @@ova @@t
anonymní	an @@onym @@n @@í
anotovat	a @@not @@ova @@t
antagonizovávanost	anta @@gon @@izová @@v @@a @@n @@ost
antedatovat	ante @@dat @@ova @@t
anthony	anthony
anthozoa	anthozo @@a
anticipovat	anti @@cip @@ova @@t
antidatujeme	anti @@dat @@uje @@me
antihrdinka	ant @@i @@hrd @@in @@k @@a
antikvity	antikv @@it @@y
antimykoticky	anti @@myk @@ot @@ic @@k @@y
antipropagandovost	anti @@propag @@and @@ov @@ost
antivirotickost	anti @@vir @@ot @@ic @@k @@ost
antona	anton @@a
anulovat	a @@nul @@ova @@t
anďákův	anď @@ák @@ův
aparatury	aparat @@ur @@y
apelovat	a @@pel @@ova @@t
apercipovat	a @@per @@cip @@ova @@t
aplanovat	aplan @@ova @@t
