Нөгөө талаар Хөвсгөлийн байгалийн цогцолбор газарт нэвтрэхэд 1,000 төгрөг авдаг .	Нөгөө тал @аар Хөвсгөл @ийн байгал @ийн цогцолох @бор газар @т нэвтрэх @д 1,000 төгрөг авах @даг .
Түүнээс хойш өссөн .	Түүнээс хойш өсөх @сөн .
Цаг хугацаа хурдан өнгөрдөг .	Цаг хугацаа хурд @@ан өнгөрөх @@дөг .
Сүүлийн таван жилийн байдлаар авч үзвэл өдөрт зам тээврийн ослоор хоёр хүн нас барж , 20 хүн гэмтэж бэртсэн байна .	Сүүл @@ийн тав @@ан жил @@ийн байдал @@аар авч үзэх @@вэл өдөр @@т зам тээх @@вэр @@ийн осол @@оор хоёр хүн нас барах @@ж , 20 хүн гэмтэх @@ж бэртэх @@сэн байх @@на .
Ийнхүү олон жил болсон барилгын дээврээс дусаал гоожих асуудал тулгарч байсан тул хоёр жилийн өмнө дээврийн их засвар хийсэн байна.	Ийнхүү олон жил болох @@сон барих @@лга @@ын дээвэр @@ээс дусах @@аал гоожих асуух @@дал тулгарах @@ч байх @@сан тул хоёр жил ийн өмнө дээр @@вэр ийн их засах @@вар хийх @@сэн байх @@на .
Хятад, Орос, Өмнөд Солонгос, АНУ, Британи зэрэг олон орны хэвлэл мэдээллийн төлөөлөгчдийг уг арга хэмжээндээ ирэхийг урьсан байна.	Хятад , Орос , Өмнөх @@д Солонгос , АНУ , Британи зэрэг олон орон @@ы хэвлэх @@л мэдээ @@лэх @@л @@ийн төлөө @@лөх @@гч @@д @@ийг уг арга хэмжээ @@д @@ээ ирэх @@ийг урих @@сан байх @@на .
Үүнийг ЭТТ-н ашгаар тавина.	Үүн @ийг ЭТТ -н ашиг @@аар тавих @@на .
Санаа зовохгүй байна гэдэг нь энэ хүний мөн чанар харагдаж байгаа юм.	Санах @@аа , зовох @@гүй байх @@на гэх @@дэг нь энэ хүн @@ий мөн чанар харах @@гдах @@ж байх @@гаа юм .
Хурц, шаламгай, дайчин барилдаантай ч хийтэй барилддаг учраас даваа ахих тусам түүнд хүнд байна гэсэн үг.	Хурц , шалам @@гай , дайн @@чин барих @@лдах @@аан @@тай ч хий @@тэй барих @@лдах @@даг учир @@аас давах @@аа ахих тусам түүн @@д хүнд гэх @@сэн үг .
Өөр хүн томилохгүй.	Өөр хүн томилох @@гүй .
Очсон орон болгондоо доод түвшинээс эхлэнэ.	Очих @@сон орон болох @@гох @@н @@д @@оо доор @@д түвшин @@ээс эхлэх @@нэ .
Гэхдээ энэ гоолоос дутахгүй дуулиантай нэгэн үйл явдал олны анхаарлыг татсан нь Бельгийн довтлогч Миши Батшуайн үйлдэл байлаа.	Гэх @@дээ энэ гоол @@оос дутах @@гүй дуулих @@аан @@тай нэг @@н үйл явах @@дал олон @@ы анхаарах @@л @@ыг татах @@сан нь Бельги @@ийн довтлох @@гч Миши Батшуайн үйл @@дэх @@л байх @@лаа .
Намын бүлгүүд болон хороодын санал дүгнэлтийг сонсож, төлөөлөгчид холбогдох албанаас тодруулга авлаа.	Нам @@ын бүлэг @@үүд болох @@н хороо @@д @@ын санах @@л дүгнэх @@лт @@ийг төлөө @@лөх @@гч @@д холбох @@гдох алба @@аас тодрох @@уулах @@га авах @@лаа .
Аяллын 3 дахь өдөр хөлөг онгоц маань дэлхийн түүхэнд нэр нь мөнхөрсөн Япон улсын Нагасаки хотод хүрсэн юм.	Аялах @@л @@ын 3 дахь өдөр хөлөг онгоц маань дэлхий @@н түүх @@д нэр нь мөнх @@рөх @@сөн Япон улс @@ын Нагасаки хот @@д хүрэх @@сэн юм .
Үнэхээр биднээс илүү мэдлэг боловсролтой нь байгаа бол хамтдаа мэтгэлцмээр байна.	Үнэн @@ээр бид @@ээс илүү мэдэх @@лэг боловсрох @@л @@той нь байх @@гаа бол хамт @@даа мэтгэлцэх @@мээр байх @@на .
Тэр Хойд Солонгост хоригдож байгаад суллагдсан гурван иргэнийхээ хамт Пёньянаас хоёр өдрийн өмнө нисэж ирсэн юм.	Тэр Хойд Солонгос @@т хорих @@гдох @@ж байх @@аа суллах @@гдах @@сан гурав @@н иргэн @@ий @@ээ хамт Пёньян @@аас хоёр өдөр @@ийн өмнө нисэх @@ж ирэх @@сэн юм .
Ихэнх нь машиныхаа ард суугаад архи ууж байдаг.	Ихэнх нь машин @@ы @@аа ард суух @@аад архи уух @@ж байх @@даг .
