залууртай	залах @@уур @@тай	110
нуруунд	нуруу @@д	100
үеийг	үе @@ийг	100
танилтай	таних @@л @@тай	110
ядаргаанаас	ядрах @@гаа @@аас	110
авиаг	авиа @@г	100
үндсээр	үндэс @@ээр	100
стратегиар	стратеги @@ар	100
тавилгаар	тавих @@лга @@аар	110
элбэрэлтэй	элбэрэх @@л @@тэй	010
сорвиноос	сорви @@оос	100
уйтгарыг	уйтгар @@ыг	100
хэвлийн	хэвлий @@ийн	100
хүчийг	хүч @@ийг	100
хөшүүрэгтэй	хөших @@үүрэг @@тэй	110
гахайгаар	гахай @@аар	100
ойлтоор	ойх @@лт @@оор	110
туйлаа	туйл @@аа	100
тээвэрлэлтээ	тээх @@вэр @@лэх @@лт @@ээ	110
огторгуйнаас	огторгуй @@аас	100
шаналах	шаналах	000
уулчнаар	уул @@чин @@аар	110
гуяаа	гуя @@аа	100
сэргээх	сэргэх @@ээх	010
хатуулгаа	хатах @@уулах @@га @@аа	110
довцгийн	довцог @@ийн	100
залгамжлагчид	залгах @@мж @@лах @@гч @@д	110
гаргалтаас	гарах @@гах @@лт @@аас	110
өгзгөнд	өгзөг @@д	100
нотолгоогоор	нотлох @@гоо @@оор	110
захиргааны	захирах @@гаа @@ы	110
мухлагийн	мухлаг @@ийн	100
тэсрэлтийг	тэсэх @@рэх @@лт @@ийг	110
хөхөвчийн	хөх @@вч @@ийн	110
усаа	ус @@аа	100
ёсолгоотой	ёс @@лгоо @@той	110
зоог	зоог	000
илбэтэй	илбэ @@тэй	100
үү	үү	000
зүүлтийн	зүүх @@лт @@ийн	110
заргын	зарга @@ын	100
ичээнд	ичих @@ээ @@д	110
шөвхөлсөн	шөвх @@лөх @@сөн	110
клиникээр	клиник @@ээр	100
аврагч	аврах @@гч	010
бослогоос	босох @@лого @@оос	110
нисгэгчээ	нисэх @@гэх @@гч @@ээ	110
унага	унага	000
баашнаас	бааш @@аас	100
маргааныг	маргах @@аан @@ыг	110
үнэлэмжид	үнэ @@лэх @@мж @@д	110
завсарлагыг	завсар @@лах @@га @@ыг	110
нийлэмжээ	нийлэх @@мж @@ээ	110
тоосгоноос	тоосго @@оос	100
ширэг	ширэг	000
хэмхлэх	хэмх @@лэх	010
ахад	ах @@д	100
хунгаас	хун @@аас	100
давснаас	давс @@аас	100
завсарлага	завсар @@лах @@га	010
хэмжүүрийн	хэм @@жих @@үүр @@ийн	110
симфонитой	симфони @@той	100
уурхайчныг	уурхай @@чин @@ыг	110
шаардлагаар	шаардах @@лага @@аар	110
эрмэлзэх	эрмэлзэх	000
бульдозер	бульдозер	000
шуугианаас	шуугих @@аан @@аас	110
нэмэлтэд	нэмэх @@лт @@д	110
хулгайлах	хулгай @@лах	010
тэмдэглэлийн	тэмдэг @@лэх @@л @@ийн	110
хөнгөлөлт	хөнгөн @@лөх @@лт	010
совинд	совин @@д	100
давтлагад	давтах @@лага @@д	110
уйтгараа	уйтгар @@аа	100
адилсал	адил @@сах @@л	010
гагнуурчныг	гагнах @@уур @@чин @@ыг	110
дүнзэнд	дүнз @@д	100
үзүүртэй	үзүүр @@тэй	100
түрээслэгчийг	түрээс @@лэх @@гч @@ийг	110
зөрчлөө	зөрөх @@чих @@л @@өө	110
өндгөвч	өндөг @@вч	010
чидунаа	чидун @@аа	100
тэмтэрцгээ	тэмтрэх @@цгээ	100
солонгод	солонго @@д	100
гэрчтэй	гэрч @@тэй	100
түрүүгээ	түрүү @@ээ	100
ихэмсэг	их @@мсэг	010
сүйгээ	сүй @@ээ	100
гялгараа	гялгар @@аа	100
жичтэй	жич @@тэй	100
жижиг	жижиг	000
хясаатай	хясаа @@тай	100
судлаачид	судлах @@аач @@д	110
эргэлдэх	эргэх @@лдэх	010
гамшгаас	гамшиг @@аас	100
бариачаа	бариа @@ч @@аа	110
хөдөлмөрийн	хөдлөх @@мөр @@ийн	110
шүүр	шүүр	000
гуагаа	гуа @@аа	100
эсийн	эс @@ийн	100
давхраанд	давхар @@аа @@д	110
чиглэлийн	чиг @@лэх @@л @@ийн	110
хигээсээр	хигээс @@ээр	100
шүүрлээр	шүүрэх @@л @@ээр	110
сууцтай	сууц @@тай	100
зол	зол	000
таарахгүй	таарах @@гүй	010
анхааруулгаа	анхаарах @@уулах @@лга @@аа	110
доголдол	доголдох @@л	010
хорслын	хорсох @@л @@ын	110
эхлэлд	эх @@лэх @@л @@д	110
аэробикээ	аэробик @@ээ	100
шилбэ	шилбэ	000
лазерт	лазер @@т	100
санхүү	сан @@хүү	010
өвд	өв @@д	100
байлдаантай	байлах @@дах @@аан @@тай	110
буян	буян	000
хангалтгүй	хангах @@лт @@гүй	010
дуулганы	дуу @@лах @@га @@ы	110
зөгий	зөгий	000
хуваарилалтаа	хуваарь @@лах @@лт @@аа	110
бүйлсний	бүйлс @@ий	100
хийлээс	хийл @@ээс	100
царайн	царай @@н	100
жингэнэх	жингэнэх	000
оргуулд	оргох @@уул @@д	110
хүчилтөрөгчөөр	хүчил @@төрөгч @@өөр	101
цементтэй	цемент @@тэй	100
дээврээр	дээвэр @@ээр	100
гэмтлийг	гэмтэх @@л @@ийг	110
андаа	анд @@аа	100
асраар	асар @@аар	100
олборлолттой	олох @@бор @@лох @@лт @@той	110
хуйлаастай	хуй @@лах @@аас @@тай	110
холбоосонд	холбох @@оос @@д	110
хүрэмтэй	хүрэм @@тэй	100
байгууллага	байх @@уулах @@лага	010
шинжийн	шинж @@ийн	100
нууцлах	нууц @@лах	010
илүүдлээс	илүү @@дэх @@л @@ээс	110
нөхвөрөө	нөхөх @@вөр @@өө	110
тагнуулд	тагнах @@уул @@д	110
ангаахайд	ангаахай @@д	100
уртрагаар	урт @@раг @@аар	110
зураачийг	зурах @@аач @@ийг	110
үндэслэх	үндэс @@лэх	010
хуримаар	хурим @@аар	100
гагнах	гагнах	000
барья	барих @@я	100
даамжралын	даамжрах @@л @@ын	110
бяслагт	бяслаг @@т	100
ажиглагчийн	ажих @@г @@лах @@гч @@ийн	110
өө	өө	000
төлбөртэй	төлөх @@бөр @@тэй	110
гүнгээ	гүн @@ээ	100
дайралтад	дайн @@рах @@лт @@д	110
ноогдлыг	ноогдох @@л @@ыг	110
өөрчлөгчөөр	өөр @@члөх @@гч @@өөр	110
шүдний	шүд @@ий	100
холболт	холбох @@лт	010
намраар	намар @@аар	100
тостой	тос @@той	100
сонстол	сонсох @@тол	100
торних	торних	000
бөглөрөл	бөглөх @@рөх @@л	010
хаягаас	хаяг @@аас	100
сургуульд	сурах @@гах @@ууль @@д	110
үргэлжлэлийг	үргэлж @@лэл @@ийг	110
үзэгдэл	үзэх @@гдэх @@л	010
гарцыг	гарах @@ц @@ыг	110
бизнестэй	бизнес @@тэй	100
хүүтэй	хүү @@тэй	100
өгөөжөө	өгөөж @@өө	100
сөнөөгч	сөнөөх @@гч	010
айдсаас	айдас @@аас	100
агуйг	агуй @@г	100
их	их	000
тэлээтэй	тэлэх @@ээ @@тэй	110
сүртэй	сүр @@тэй	100
коллежтой	коллеж @@той	100
эзэмшигчээ	эзэн @@мших @@гч @@ээ	110
харъяа	харъяа	000
голоор	гол @@оор	100
шаврыг	шавах @@р @@ыг	110
баттай	бат @@тай	010
чихрээс	чихэр @@ээс	100
багтрааг	багтрах @@аа @@г	110
олборлолтоор	олох @@бор @@лох @@лт @@оор	110
шүлтийн	шүлт @@ийн	100
хэрэгцээний	хэрэг @@цээ @@ий	110
фракцтай	фракц @@тай	100
